Province_State,Date,Confirmed,Deaths,Month,Day,Year
Alabama,07-04-2021,551298,11358,07,04,2021
Alaska,07-04-2021,71384,377,07,04,2021
American Samoa,07-04-2021,0,0,07,04,2021
Arizona,07-04-2021,896960,17979,07,04,2021
Arkansas,07-04-2021,350579,5913,07,04,2021
California,07-04-2021,3886804,63187,07,04,2021
Colorado,07-04-2021,564540,6896,07,04,2021
Connecticut,07-04-2021,349476,8279,07,04,2021
Delaware,07-04-2021,109875,1695,07,04,2021
Diamond Princess,07-04-2021,49,0,07,04,2021
District of Columbia,07-04-2021,49378,1141,07,04,2021
Florida,07-04-2021,2381148,37985,07,04,2021
Georgia,07-04-2021,1135526,21443,07,04,2021
Grand Princess,07-04-2021,103,3,07,04,2021
Guam,07-04-2021,8373,140,07,04,2021
Hawaii,07-04-2021,37995,518,07,04,2021
Idaho,07-04-2021,195172,2158,07,04,2021
Illinois,07-04-2021,1392554,25696,07,04,2021
Indiana,07-04-2021,754724,13863,07,04,2021
Iowa,07-04-2021,374180,6146,07,04,2021
Kansas,07-04-2021,319127,5158,07,04,2021
Kentucky,07-04-2021,465752,7240,07,04,2021
Louisiana,07-04-2021,482560,10757,07,04,2021
Maine,07-04-2021,69121,860,07,04,2021
Maryland,07-04-2021,462596,9749,07,04,2021
Massachusetts,07-04-2021,710138,14509,07,04,2021
Michigan,07-04-2021,1000375,21009,07,04,2021
Minnesota,07-04-2021,605660,7703,07,04,2021
Mississippi,07-04-2021,322186,7419,07,04,2021
Missouri,07-04-2021,629742,9758,07,04,2021
Montana,07-04-2021,113873,1666,07,04,2021
Nebraska,07-04-2021,224682,2261,07,04,2021
Nevada,07-04-2021,334763,5697,07,04,2021
New Hampshire,07-04-2021,99555,1372,07,04,2021
New Jersey,07-04-2021,1024225,26473,07,04,2021
New Mexico,07-04-2021,205715,4344,07,04,2021
New York,07-04-2021,2116516,53492,07,04,2021
North Carolina,07-04-2021,1014359,13434,07,04,2021
North Dakota,07-04-2021,110525,1559,07,04,2021
Northern Mariana Islands,07-04-2021,183,2,07,04,2021
Ohio,07-04-2021,1112289,20559,07,04,2021
Oklahoma,07-04-2021,458483,7388,07,04,2021
Oregon,07-04-2021,209037,2781,07,04,2021
Pennsylvania,07-04-2021,1226653,27706,07,04,2021
Puerto Rico,07-04-2021,140301,2552,07,04,2021
Rhode Island,07-04-2021,152643,2730,07,04,2021
South Carolina,07-04-2021,597261,9830,07,04,2021
South Dakota,07-04-2021,124592,2038,07,04,2021
Tennessee,07-04-2021,866686,12510,07,04,2021
Texas,07-04-2021,3044265,52388,07,04,2021
Utah,07-04-2021,416110,2378,07,04,2021
Vermont,07-04-2021,24419,258,07,04,2021
Virgin Islands,07-04-2021,3895,30,07,04,2021
Virginia,07-04-2021,681072,11427,07,04,2021
Washington,07-04-2021,452483,5939,07,04,2021
West Virginia,07-04-2021,164149,2899,07,04,2021
